Comuna,Pacto,Partido,Tendencia,Independientes,Candidato,n_votos,perc_votos_comuna
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,FELIPE ANDRES GUTIERREZ SANCHEZ,1,3.11624E-05
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,MARCEL LEONARDO PARRA PARRA,3,9.34871E-05
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,VICTOR ANDY REYES MOLINA,5,0.000155812
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,DANILO PATRICIO SANTANDER ROJAS,1,3.11624E-05
LINARES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,CECILIA  PARHAM MUCARQUER,4,0.000124649
LINARES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,RAFAEL  RAMIREZ PARRA,3,9.34871E-05
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,PEDRO PABLO MUÑOZ OSES,6,0.000186974
LINARES,CHILE VAMOS RN - EVOPOLI,EVOLUCION POLITICA,Derecha1,,ALEJANDRA HARRISON SANDOVAL,1,3.11624E-05
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,RODRIGO  BORDACHAR URRUTIA,1,3.11624E-05
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,LAURA  GATICA MONTERO,0,0
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,GONZALO JARA REYES,1,3.11624E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,MARCELO RUBEN ALARCON BADILLA,1,3.11624E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,JOSE RIGOBERTO MUÑOZ JAQUE,0,0
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,RICARDO LATRACH PONCE,0,0
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,CHRISTIAN HERNANDEZ BARROS,6,0.000186974
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,ROBERTO ANTONIO ARAVENA LINEROS,1,3.11624E-05
LINARES,SUMEMOS,INDEPENDIENTES,Concertacion3,1,PABLO ENRIQUE NAVARRETE TARRAGO,2,6.23247E-05
LINARES,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,Izquierda2,,CARLOS ALBERTO CASTRO ROMERO,10,0.000311624
LINARES,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,CARLA LORETO LOPEZ CAMPOS,1,3.11624E-05
LINARES,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,JUAN PABLO ESPINOSA MORALES,4,0.000124649
LINARES,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,DANIEL BUSTOS FUENTES,0,0
LINARES,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,RICARDO GERMAN TAPIA MUÑOZ,2,6.23247E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,RODRIGO HERMOSILLA GATICA,35,0.001090682
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,CESAR  CONCHA GATICA,8,0.000249299
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,PAULO CORNEJO RODRIGUEZ,2,6.23247E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,ISRAEL ANTONIO URRUTIA ESCOBAR,3,9.34871E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,JOSE DESIDERIO VARGAS VEGA,3,9.34871E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JONATHAN  NORAMBUENA BARROS,8,0.000249299
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,PATRICIO OJEDA ALARCON,1,3.11624E-05
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,JESUS OSSES REVECO,30,0.000934871
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,EDGARDO BRAVO REBOLLEDO,0,0
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,ENRIQUE GOMEZ HOFFER,0,0
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,Derecha2,,JUAN CARLOS VALDES VASQUEZ,4,0.000124649
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,FELIPE ANDRES GUTIERREZ SANCHEZ,6,0.000186974
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,MARCEL LEONARDO PARRA PARRA,4,0.000124649
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,VICTOR ANDY REYES MOLINA,2,6.23247E-05
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,DANILO PATRICIO SANTANDER ROJAS,0,0
LINARES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,CECILIA  PARHAM MUCARQUER,4,0.000124649
LINARES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,RAFAEL  RAMIREZ PARRA,5,0.000155812
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,PEDRO PABLO MUÑOZ OSES,9,0.000280461
LINARES,CHILE VAMOS RN - EVOPOLI,EVOLUCION POLITICA,Derecha1,,ALEJANDRA HARRISON SANDOVAL,2,6.23247E-05
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,RODRIGO  BORDACHAR URRUTIA,2,6.23247E-05
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,LAURA  GATICA MONTERO,2,6.23247E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,GONZALO JARA REYES,0,0
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,MARCELO RUBEN ALARCON BADILLA,0,0
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,JOSE RIGOBERTO MUÑOZ JAQUE,3,9.34871E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,RICARDO LATRACH PONCE,2,6.23247E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,CHRISTIAN HERNANDEZ BARROS,3,9.34871E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,ROBERTO ANTONIO ARAVENA LINEROS,1,3.11624E-05
LINARES,SUMEMOS,INDEPENDIENTES,Concertacion3,1,PABLO ENRIQUE NAVARRETE TARRAGO,2,6.23247E-05
LINARES,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,Izquierda2,,CARLOS ALBERTO CASTRO ROMERO,6,0.000186974
LINARES,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,CARLA LORETO LOPEZ CAMPOS,2,6.23247E-05
LINARES,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,JUAN PABLO ESPINOSA MORALES,1,3.11624E-05
LINARES,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,DANIEL BUSTOS FUENTES,0,0
LINARES,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,RICARDO GERMAN TAPIA MUÑOZ,4,0.000124649
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,RODRIGO HERMOSILLA GATICA,38,0.00118417
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,CESAR  CONCHA GATICA,5,0.000155812
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,PAULO CORNEJO RODRIGUEZ,2,6.23247E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,ISRAEL ANTONIO URRUTIA ESCOBAR,0,0
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,JOSE DESIDERIO VARGAS VEGA,2,6.23247E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JONATHAN  NORAMBUENA BARROS,10,0.000311624
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,PATRICIO OJEDA ALARCON,4,0.000124649
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,JESUS OSSES REVECO,26,0.000810221
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,EDGARDO BRAVO REBOLLEDO,0,0
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,ENRIQUE GOMEZ HOFFER,0,0
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,Derecha2,,JUAN CARLOS VALDES VASQUEZ,0,0
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,FELIPE ANDRES GUTIERREZ SANCHEZ,2,6.23247E-05
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,MARCEL LEONARDO PARRA PARRA,3,9.34871E-05
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,VICTOR ANDY REYES MOLINA,3,9.34871E-05
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,DANILO PATRICIO SANTANDER ROJAS,0,0
LINARES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,CECILIA  PARHAM MUCARQUER,3,9.34871E-05
LINARES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,RAFAEL  RAMIREZ PARRA,8,0.000249299
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,PEDRO PABLO MUÑOZ OSES,4,0.000124649
LINARES,CHILE VAMOS RN - EVOPOLI,EVOLUCION POLITICA,Derecha1,,ALEJANDRA HARRISON SANDOVAL,3,9.34871E-05
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,RODRIGO  BORDACHAR URRUTIA,4,0.000124649
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,LAURA  GATICA MONTERO,0,0
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,GONZALO JARA REYES,1,3.11624E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,MARCELO RUBEN ALARCON BADILLA,0,0
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,JOSE RIGOBERTO MUÑOZ JAQUE,0,0
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,RICARDO LATRACH PONCE,1,3.11624E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,CHRISTIAN HERNANDEZ BARROS,6,0.000186974
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,ROBERTO ANTONIO ARAVENA LINEROS,3,9.34871E-05
LINARES,SUMEMOS,INDEPENDIENTES,Concertacion3,1,PABLO ENRIQUE NAVARRETE TARRAGO,6,0.000186974
LINARES,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,Izquierda2,,CARLOS ALBERTO CASTRO ROMERO,9,0.000280461
LINARES,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,CARLA LORETO LOPEZ CAMPOS,1,3.11624E-05
LINARES,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,JUAN PABLO ESPINOSA MORALES,1,3.11624E-05
LINARES,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,DANIEL BUSTOS FUENTES,0,0
LINARES,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,RICARDO GERMAN TAPIA MUÑOZ,3,9.34871E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,RODRIGO HERMOSILLA GATICA,27,0.000841384
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,CESAR  CONCHA GATICA,12,0.000373948
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,PAULO CORNEJO RODRIGUEZ,0,0
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,ISRAEL ANTONIO URRUTIA ESCOBAR,1,3.11624E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,JOSE DESIDERIO VARGAS VEGA,1,3.11624E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JONATHAN  NORAMBUENA BARROS,5,0.000155812
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,PATRICIO OJEDA ALARCON,1,3.11624E-05
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,JESUS OSSES REVECO,24,0.000747897
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,EDGARDO BRAVO REBOLLEDO,0,0
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,ENRIQUE GOMEZ HOFFER,0,0
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,Derecha2,,JUAN CARLOS VALDES VASQUEZ,0,0
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,FELIPE ANDRES GUTIERREZ SANCHEZ,1,3.11624E-05
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,MARCEL LEONARDO PARRA PARRA,1,3.11624E-05
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,VICTOR ANDY REYES MOLINA,1,3.11624E-05
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,DANILO PATRICIO SANTANDER ROJAS,0,0
LINARES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,CECILIA  PARHAM MUCARQUER,5,0.000155812
LINARES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,RAFAEL  RAMIREZ PARRA,3,9.34871E-05
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,PEDRO PABLO MUÑOZ OSES,12,0.000373948
LINARES,CHILE VAMOS RN - EVOPOLI,EVOLUCION POLITICA,Derecha1,,ALEJANDRA HARRISON SANDOVAL,2,6.23247E-05
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,RODRIGO  BORDACHAR URRUTIA,2,6.23247E-05
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,LAURA  GATICA MONTERO,1,3.11624E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,GONZALO JARA REYES,3,9.34871E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,MARCELO RUBEN ALARCON BADILLA,0,0
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,JOSE RIGOBERTO MUÑOZ JAQUE,0,0
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,RICARDO LATRACH PONCE,2,6.23247E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,CHRISTIAN HERNANDEZ BARROS,3,9.34871E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,ROBERTO ANTONIO ARAVENA LINEROS,1,3.11624E-05
LINARES,SUMEMOS,INDEPENDIENTES,Concertacion3,1,PABLO ENRIQUE NAVARRETE TARRAGO,1,3.11624E-05
LINARES,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,Izquierda2,,CARLOS ALBERTO CASTRO ROMERO,10,0.000311624
LINARES,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,CARLA LORETO LOPEZ CAMPOS,1,3.11624E-05
LINARES,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,JUAN PABLO ESPINOSA MORALES,1,3.11624E-05
LINARES,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,DANIEL BUSTOS FUENTES,0,0
LINARES,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,RICARDO GERMAN TAPIA MUÑOZ,2,6.23247E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,RODRIGO HERMOSILLA GATICA,30,0.000934871
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,CESAR  CONCHA GATICA,8,0.000249299
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,PAULO CORNEJO RODRIGUEZ,1,3.11624E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,ISRAEL ANTONIO URRUTIA ESCOBAR,3,9.34871E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,JOSE DESIDERIO VARGAS VEGA,1,3.11624E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JONATHAN  NORAMBUENA BARROS,5,0.000155812
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,PATRICIO OJEDA ALARCON,7,0.000218136
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,JESUS OSSES REVECO,36,0.001121845
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,EDGARDO BRAVO REBOLLEDO,0,0
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,ENRIQUE GOMEZ HOFFER,1,3.11624E-05
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,Derecha2,,JUAN CARLOS VALDES VASQUEZ,2,6.23247E-05
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,FELIPE ANDRES GUTIERREZ SANCHEZ,0,0
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,MARCEL LEONARDO PARRA PARRA,3,9.34871E-05
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,VICTOR ANDY REYES MOLINA,5,0.000155812
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,DANILO PATRICIO SANTANDER ROJAS,0,0
LINARES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,CECILIA  PARHAM MUCARQUER,7,0.000218136
LINARES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,RAFAEL  RAMIREZ PARRA,1,3.11624E-05
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,PEDRO PABLO MUÑOZ OSES,8,0.000249299
LINARES,CHILE VAMOS RN - EVOPOLI,EVOLUCION POLITICA,Derecha1,,ALEJANDRA HARRISON SANDOVAL,0,0
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,RODRIGO  BORDACHAR URRUTIA,2,6.23247E-05
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,LAURA  GATICA MONTERO,2,6.23247E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,GONZALO JARA REYES,1,3.11624E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,MARCELO RUBEN ALARCON BADILLA,0,0
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,JOSE RIGOBERTO MUÑOZ JAQUE,2,6.23247E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,RICARDO LATRACH PONCE,3,9.34871E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,CHRISTIAN HERNANDEZ BARROS,2,6.23247E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,ROBERTO ANTONIO ARAVENA LINEROS,2,6.23247E-05
LINARES,SUMEMOS,INDEPENDIENTES,Concertacion3,1,PABLO ENRIQUE NAVARRETE TARRAGO,0,0
LINARES,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,Izquierda2,,CARLOS ALBERTO CASTRO ROMERO,9,0.000280461
LINARES,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,CARLA LORETO LOPEZ CAMPOS,1,3.11624E-05
LINARES,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,JUAN PABLO ESPINOSA MORALES,1,3.11624E-05
LINARES,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,DANIEL BUSTOS FUENTES,0,0
LINARES,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,RICARDO GERMAN TAPIA MUÑOZ,1,3.11624E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,RODRIGO HERMOSILLA GATICA,29,0.000903708
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,CESAR  CONCHA GATICA,5,0.000155812
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,PAULO CORNEJO RODRIGUEZ,0,0
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,ISRAEL ANTONIO URRUTIA ESCOBAR,1,3.11624E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,JOSE DESIDERIO VARGAS VEGA,3,9.34871E-05
LINARES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JONATHAN  NORAMBUENA BARROS,5,0.000155812
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,PATRICIO OJEDA ALARCON,3,9.34871E-05
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,JESUS OSSES REVECO,28,0.000872546
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,EDGARDO BRAVO REBOLLEDO,1,3.11624E-05
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,ENRIQUE GOMEZ HOFFER,2,6.23247E-05
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,Derecha2,,JUAN CARLOS VALDES VASQUEZ,0,0
LINARES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,FELIPE ANDRES GUTIERREZ SANCHEZ,0,0
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,MARCEL LEONARDO PARRA PARRA,4,0.000124649
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,VICTOR ANDY REYES MOLINA,1,3.11624E-05
LINARES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,DANILO PATRICIO SANTANDER ROJAS,0,0
LINARES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,CECILIA  PARHAM MUCARQUER,5,0.000155812
LINARES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,RAFAEL  RAMIREZ PARRA,5,0.000155812
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,PEDRO PABLO MUÑOZ OSES,5,0.000155812
LINARES,CHILE VAMOS RN - EVOPOLI,EVOLUCION POLITICA,Derecha1,,ALEJANDRA HARRISON SANDOVAL,2,6.23247E-05
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,RODRIGO  BORDACHAR URRUTIA,1,3.11624E-05
LINARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,LAURA  GATICA MONTERO,1,3.11624E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,GONZALO JARA REYES,3,9.34871E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,MARCELO RUBEN ALARCON BADILLA,2,6.23247E-05
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,JOSE RIGOBERTO MUÑOZ JAQUE,0,0
LINARES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,RICARDO LATRACH PONCE,1,3.11624E-05
